Symbol,Name,Last_Sale,Net_Change,Percent_Change,Market_Cap,Volume,Sector,Industry
ACI,Albertsons Companies Inc. Class A Common Stock,$18.49 ,-0.01,-0.05%,10708182021,2841303,Consumer Staples,Food Chains
BRKR,Bruker Corporation Common Stock,$70.67 ,0.23,0.33%,10699045145,1240974,Industrials,Biotechnology: Laboratory Analytical Instruments
ALLY,Ally Financial Inc. Common Stock,$34.97 ,0.15,0.43%,10654375783,2410116,Finance,Major Banks
ONTO,Onto Innovation Inc. Common Stock,$215.37 ,-7.3,-3.28%,10635749593,641679,Industrials,Industrial Machinery/Components
LKQ,LKQ Corporation Common Stock,$40.37 ,0.27,0.67%,10627647788,3119537,Consumer Discretionary,Motor Vehicles
ATR,AptarGroup Inc. Common Stock,$159.89 ,1.51,0.95%,10614843514,354288,Industrials,Plastic Products
PPC,Pilgrim's Pride Corporation Common Stock,$44.06 ,0.96,2.23%,10447642729,1355550,Consumer Staples,Meat/Poultry/Fish
SKX,Skechers U.S.A. Inc. Common Stock,$68.48 ,-0.75,-1.08%,10432482332,1619784,Consumer Discretionary,Shoe Manufacturing
MMYT,MakeMyTrip Limited Ordinary Shares,$94.96 ,0.45,0.48%,10424944871,1301755,Consumer Discretionary,Transportation Services
CART,Maplebear Inc. Common Stock,$39.90 ,0.44,1.12%,10406105974,1439744,Consumer Discretionary,Business Services
OHI,Omega Healthcare Investors Inc. Common Stock,$40.33 ,-0.13,-0.32%,10398642837,1420997,Real Estate,Real Estate Investment Trusts
TWLO,Twilio Inc. Class A Common Stock,$64.66 ,0.63,0.98%,10384386107,1511755,Technology,Computer Software: Prepackaged Software
AIZ,Assurant Inc. Common Stock,$199.95 ,0.95,0.48%,10356061337,367047,Finance,Property-Casualty Insurers
NLY,Annaly Capital Management Inc. Common Stock,$20.66 ,0.26,1.28%,10351040454,6548873,Real Estate,Real Estate Investment Trusts
QGEN,Qiagen N.V. Common Shares,$45.24 ,0.22,0.49%,10323892636,1970639,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
HII,Huntington Ingalls Industries Inc. Common Stock,$263.07 ,2.71,1.04%,10316351082,233419,Industrials,Marine Transportation
DOX,Amdocs Limited Ordinary Shares,$87.83 ,0.49,0.56%,10306658943,798278,Technology,EDP Services
MEDP,Medpace Holdings Inc. Common Stock,$331.44 ,5.18,1.59%,10275223666,485545,Health Care,Biotechnology: Commercial Physical & Biological Resarch
CRL,Charles River Laboratories International Inc. Common Stock,$198.31 ,0.05,0.03%,10238889273,486055,Health Care,Biotechnology: Commercial Physical & Biological Resarch
MUSA,Murphy USA Inc. Common Stock,$499.59 ,2.28,0.46%,10237700696,205261,Consumer Discretionary,Retail-Auto Dealers and Gas Stations
SNX,TD SYNNEX Corporation Common Stock,$119.67 ,0.96,0.81%,10226957871,830626,Technology,Retail: Computer Software & Peripheral Equipment
WWD,Woodward Inc. Common Stock,$170.51 ,0.08,0.05%,10172494455,255114,Energy,Industrial Machinery/Components
MRVL,Marvell Technology Inc. Common Stock,$70.99 ,-2.46,-3.35%,10167767291,12357973,Technology,Semiconductors
AA,Alcoa Corporation Common Stock ,$39.27 ,-0.01,-0.03%,10145017298,5629158,Industrials,Aluminum
OVV,Ovintiv Inc. (DE),$38.37 ,1.37,3.70%,10133517000,5628571,Energy,Oil & Gas Production
ARMK,Aramark Common Stock,$38.44 ,0.09,0.24%,10126961416,1603173,Consumer Discretionary,Restaurants
HAS,Hasbro Inc. Common Stock,$72.10 ,0.11,0.15%,10051253640,836959,Consumer Discretionary,Recreational Games/Products/Toys
